date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:52	106363/106363	---M--	200	added ('OK')	text/html	date:Sun,%2006%20Oct%202024%2001:00:28%20GMT	https://demo.awaikenthemes.com/html-preview/leadz/index.html	C:/Users/HP/Desktop/aruntask/bank_project/demo.awaikenthemes.com/html-preview/leadz/index.html	(from )
00:51:53	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Nov%202024%2019:21:50%20GMT	https://demo.awaikenthemes.com/robots.txt		(from )
00:51:53	2735/2735	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Oct%202024%2022:57:34%20GMT	https://demo.awaikenthemes.com/html-preview/leadz/images/favicon.png	C:/Users/HP/Desktop/aruntask/bank_project/demo.awaikenthemes.com/html-preview/leadz/images/favicon.png	(from https://demo.awaikenthemes.com/html-preview/leadz/index.html)
00:51:53	2505/2505	---M--	200	added ('OK')	text/css	date:Tue,%2027%20Sep%202016%2006:18:44%20GMT	https://demo.awaikenthemes.com/html-preview/leadz/css/slicknav.min.css	C:/Users/HP/Desktop/aruntask/bank_project/demo.awaikenthemes.com/html-preview/leadz/css/slicknav.min.css	(from https://demo.awaikenthemes.com/html-preview/leadz/index.html)
00:51:53	232803/232803	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Feb%202024%2003:34:44%20GMT	https://demo.awaikenthemes.com/html-preview/leadz/css/bootstrap.min.css	C:/Users/HP/Desktop/aruntask/bank_project/demo.awaikenthemes.com/html-preview/leadz/css/bootstrap.min.css	(from https://demo.awaikenthemes.com/html-preview/leadz/index.html)
00:51:53	18441/18441	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Jul%202023%2022:23:10%20GMT	https://demo.awaikenthemes.com/html-preview/leadz/css/swiper-bundle.min.css	C:/Users/HP/Desktop/aruntask/bank_project/demo.awaikenthemes.com/html-preview/leadz/css/swiper-bundle.min.css	(from https://demo.awaikenthemes.com/html-preview/leadz/index.html)
00:51:54	132659/132659	---M--	200	added ('OK')	text/css	date:Sat,%2028%20Sep%202024%2000:26:00%20GMT	https://demo.awaikenthemes.com/html-preview/leadz/css/all.css	C:/Users/HP/Desktop/aruntask/bank_project/demo.awaikenthemes.com/html-preview/leadz/css/all.css	(from https://demo.awaikenthemes.com/html-preview/leadz/index.html)
00:51:54	76809/76809	---M--	200	added ('OK')	text/css	date:Sat,%2022%20Jul%202023%2018:49:44%20GMT	https://demo.awaikenthemes.com/html-preview/leadz/css/animate.css	C:/Users/HP/Desktop/aruntask/bank_project/demo.awaikenthemes.com/html-preview/leadz/css/animate.css	(from https://demo.awaikenthemes.com/html-preview/leadz/index.html)
00:51:54	6951/6951	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Feb%202022%2005:50:42%20GMT	https://demo.awaikenthemes.com/html-preview/leadz/css/magnific-popup.css	C:/Users/HP/Desktop/aruntask/bank_project/demo.awaikenthemes.com/html-preview/leadz/css/magnific-popup.css	(from https://demo.awaikenthemes.com/html-preview/leadz/index.html)
00:51:54	6914/6914	---M--	200	added ('OK')	text/css	date:Sat,%2005%20Oct%202024%2023:10:46%20GMT	https://demo.awaikenthemes.com/html-preview/leadz/css/mousecursor.css	C:/Users/HP/Desktop/aruntask/bank_project/demo.awaikenthemes.com/html-preview/leadz/css/mousecursor.css	(from https://demo.awaikenthemes.com/html-preview/leadz/index.html)
